Hostel Name,Distance,Rating in Star(Out 0f 10),Total Reviews,Overall Reviews,Private Room Cost,Dorms Cost,Facilities,Property Description
Wombat's City Hostel London,3.6km from city centre,9.0,14721,Superb,31986,4905,Perfect Location Superb Staff Fantastic Cleanliness,"A safe haven in the middle of the metropolis: We took a traditional brick building with roots going back to the 1800s and set a new standard for hostel life in the UK.
What used to be sailors' lodgings in the olden days is now a hostel satisfying all needs of the modern traveller. With great attention to detail, we have created a hostel in London that celebrates the legacy of our historic building.
Old oak that was previously part of sturdy ships and churches is now immortalized in our furniture throughout the house. The pints you drink here will be served on a bar made from 500-year-old wood. 

But as comfortable as our hostel might be, London's calling - and London's call is hard to ignore, given our location: 
Our Wombat's City Hostel is situated in the London Borough of Tower Hamlets, right next to famous Tower Bridge and Tower of London, charming markets, authentic pubs, and plenty of other historic sights.
A short walk will see you in the trendy Borough of Shoreditch with vibrant street art, pulsing nightlife at Hoxton Square and Old Street and finally Brick Lane, where some of the best curries outside of India can be found.
All other hotspots in London are easily accessible by public transport: The Underground- and DLR-Stations Aldgate East and Tower Bridge are just a stone's throw away. 

After a long and exciting day in London, our hostel awaits you with a cozy courtyard, spacious lobby with our very own Wombat's Cafe (unique Wombat's Roast included) and womBAR. Here you can unwind and enjoy our reliably unexpected offers.
All rooms are equipped with ensuite bathrooms and private lockers. 

Included as always - our Wombat's basics:
- bedding
- WiFi
- our own Wombat's city maps
- Wombat's Cafe
- the womBAR for never-ending parties
- a guest kitchen open to all who want to cater to their own culinary needs
- 24/7 Reception
- safe luggage storage
- rentables (umbrellas, hairdryers, adapters: everything an avid traveler could possibly need)
- coin-operated laundry facilities (washing and crying ... oops, sorry about the typo, of course we mean drying), so you can re-vitalize your clothes ;)

Our famous Tasty Brekkie buffet ensures you have enough energy for your exciting day in London. You can buy your tickets for a small fee at reception. 

(Minimum age: 18.)"
NX London Hostel,6.1km from city centre,8.2,1808,Fabulous,8536,2606,Perfect Location Superb Staff Excellent Cleanliness,"Welcome to NX London Hostel!

PLEASE READ INFORMATION BELOW IN FULL

NX London offers Budget accommodation close to a station and a 24hrs service bus stop. We're among the cheapest hostels in London that offer you FREE linen, FREE Wi-fi and FREE breakfast. We strive to offer value for money but LET'S BE REAL, don't come to us with expectations of a boutique Hostel or an affordable/luxury Hotel. 

We're located close to New Cross Gate or New Cross Tube/ Train lines with easy access to London Bridge or connection to the Jubilee Line. We are also a short bus ride (15 minutes) away to the O2, if you are coming to London for a concert or event.

We offer a variety of rooms, including small dormitory rooms and private rooms for Individuals and small/medium groups. Children under 6 years of age are not allowed under any circumstances.

FACILITIES Inc. :-
Reception is open 4:00pm to 1:00am (please DO NOT try to arrive prior to this hours unless arranged in advance)
Self Catering Kitchens.
Common Room with Digital TV.
Free Wi-Fi 
Secure Lockers (Chargeable £2/day)
Free ear plugs (For light sleepers)
Complimentary continental breakfast
Early check-in (subject to availability) starts at 1:00pm and needs to be arranged and paid in advance with surcharge of £10 per person
Late check-in (1:00am-3:00am) needs to be arranged and paid in advance with surcharge of £10 per reservation
Late check-out (subject to availability) up to 3:00pm and needs to be arranged and paid in advance with surcharge of £15 per person or a full night stay if not pre-arranged the night before. 

All of our reservations are NON-REFUNDABLE regardless of circumstances. This includes, but is not limited to, cancellations made by the guest, changes in travel plans, bonafide errors, medical emergencies, bereavement or any other reasons for not being able to stay at the property. By making a reservation, you agreed to this NON-REFUNDABLE policy and acknowledged that you shall not be entitled to receive a refund for any reason. We kindly ask all of our guests to consider this policy before making a booking and ensure that their travel plans align with the hostel's terms and conditions.

However, if you need to cancel before your arrival day, you can request a partial courtesy voucher to use in the future at the Manager's discretion.

The Pub next door to the hostel often features live music / DJs. The bar has a pool table and shows all major sports events live. Please note that, since this is a well known live music venue, things can get noisy on the Hostel's lower levels. If that's a concern please request ear plugs (provided free or charge) or an upper floor room upon reserving (subject to availability).

Whether you are coming to London to visit the sights, study or work, we look forward to welcoming you to the NX London Hostel.

Free 'On Street' Parking is available in close proximity to the Hostel. 
 
ADDITIONAL INFORMATION
*We do not accept customers under 18 years old and over 65 years old unless they are part of a group staying in a private room. Children under the age of 6 are not allowed under any circumstances. We reserve the right to refuse your accommodation at any stage according to the manager discretion. *

*KEEP YOUR EXPECTATIONS REALISTIC! Our Standards are in line with the accommodation type we offer (BUDGET HOSTEL). The NX London is not a Hotel, the shared nature of our dormitory rooms might occasionally result into clutter. Bathrooms are located in the hallways and partaken with other guests. In order to maintain our prices low, we kept ""on location amenities"" to a minimum: There are no toiletries, air conditioning and/or a mini-bar in the rooms. We feature a mix of long term and leisure guests, this gives the ambience a uniquely quirky character, as a consequence it would be impossible to meet everybody's taste. Discriminatory comments or behaviour won't be tolerated.
* Our 10 bed dorm can host up to 10 guests! If you're not comfortable sharing the space with that many people (and their belongings) please consider booking a different dorm. 
* The hostel is primarily designed for adults and we expect our guests to act in a responsible and respectful manner at all times.
* Upon reserving, you agree and acknowledge that our staff is trained to enforce our policies and procedures in a firm and assertive manner, holding everybody to a high standard of behaviour and with zero-tolerance policy for any breaches. If they instruct you to follow a particular rule or procedure, we kindly request that you comply with their directions. We ask that guests understand that repeated breaches of policy can put a strain on our staff. 
* Being uncomfortable with a high level of enforcement or the manner in which our staff members communicate shall not constitute grounds for a complain.

*Reception is ONLY open 4:00pm to 1:00am. 
*Property is not wheelchair accessible*
*All reservations must be PREPAID the day of booking and are NON REFUNDABLE. 
*Unpaid reservations WILL BE SUBJECT TO AVAILABILITY AND MIGHT INCUR A 20%-40% SURCHARGE if they're not fully paid upon reserving. 
*Groups of 9 guests or more need to send group request. 
*The check-in time is from 4:00pm-1:00am. Guests arriving between 1:00am-3:00am need to email at least 24hrs in advance to confirm their reservation, process late check in payment and fill up check in form online to receive code, otherwise will be considered a no show and subject to availability and no show fees. If you fail to pre-arrange late check in or arrive by 3:00am the reservation will be considered a no show with applicable charges.

No-Shows and Early check-outs will always result into a full (100%) charge and shall never constitute basis for a monetary refund regardless of circumstances. A transferable courtesy credit voucher, to be redeemed at our property might be offered at the Manager's discretion.

We DO require a valid ID for all arrivals including UK/EU residents. Expired ones or without a clear or damaged photo are not valid to check-in.
A refundable £10.00 Key Deposit shall be required upon arrival.
Should loss of any key reasonably require a locksmith to be called and/or locksmith services to be carried out, guests shall be liable for any locksmith's fees.
Upon departure guests should use the express check-out box located by the entrance to drop their key sets, where the corresponding deposit would be refunded directly to the payment method on file for the booking. Those whom wish to check-out early, or retrieve their key deposit in cash, are invited to report to Reception before 1:00 AM the night prior to leaving."
Generator London,3km from city centre,7.4,7428,Very Good,19379,3618,Perfect Location Marvellous Staff Awesome Cleanliness,"Hostelworld guests have said Generator Hostel London is a clean, secure, 'well-organised hostel with good and professional staff'. We like their 'lively and atmospheric' bar, which travellers tell us is 'a great place to hang out a bit and have a beer while meeting nice people from around the globe'. Our users say this hostel is 'only three minutes' walk to Russell [Square] Underground Station, six minutes to King's Cross Station [and] three minutes to buses'."
Safestay London Elephant & Castle,1.7km from city centre,7.5,4897,Very Good,29803,4369,Wonderful Location Marvellous Staff Excellent Cleanliness,"Safestay at Elephant and Castle is located in South London, just five minutes from Elephant and Castle tube station, putting it just a few stops from London Bridge, Leicester Square and Piccadilly Circus. This stylish boutique-style hostel is very clean and features a continental breakfast (£6) and in-room luggage cages. Hostelworld guests have compared it favourably to a hotel. We like the privacy curtains on their beds, which create a sense of personal space even in a busy dorm."
Safestay London Kensington Holland Park,5.8km from city centre,7.1,1478,Very Good,No Privates Available,2801,Wonderful Location Marvellous Staff Awesome Cleanliness,"Safestay Holland Park

Safestay Holland Park is ideally located in the heart of London, nestled within one of the capital's most prestigious parks. This stunning hostel consists of 3 buildings, including the East Wing of the park's original Jacobean building, and surrounds our private courtyard garden.

The property has been fully refurbished to the high standards for which Safestay is renowned. 

The Grade 1 listed building is located on the edge of London's famous Holland Park (search for Holland walk and duchess of Bedford Walk on your maps) and will provide Safestay guests with the opportunity to stay in the heart of one of the capital's desirable neighborhoods. The property dates back to 1605 along with a 1950's extension and is situated in a huge garden within the middle of one of London's most beautiful parks.

Historic, Jacobean splendor, in a great city location. Who says you can't have it all? This mansion in the middle of Holland Park was visited by Sir Walter Scott, Lord Byron, and Dickens. Today it offers large, comfortable rooms to you. 

Three different houses with a range of standard & ensuite rooms as well as family rooms & private rooms for everyone!
Pool room, breakfast room & restaurant as well as the garden, & the whole Park itself with its famous beautiful woodland trails, manicured lawns, the Kyoto Japanese Garden with its resident Coi, and a fantastic ice cream stand in the middle.
Opened in 1952, Holland Park used to be a private estate belonging to the Earl of Holland. During the 19th century, the Holland House attracted high-profile visitors from various walks of life, from the politician, Lord Palmerston, to the poet, Lord Byron.

Safestay Holland Park has excellent transport links and is within easy reach of The Natural History Museum, Holland Park Avenue, Notting Hill Gate, Portobello Market, Harrods, The Science Museum, Hyde Park, Westfield Shopping Centre, and Kensington Palace Gardens.

Dormitory style and range in size from 2 beds upwards. They offer mixed accommodation. Clean fresh sheets are included in the price. Lockers are available in rooms. Padlocks available for sale

Safestay Holland Park's Policies & Conditions:

Cancellation policy: 24 hours before arrival. 
Payment upon arrival by credit cards, debit cards. 
This property may pre-authorize your card before arrival.

Check-in from 15:00
Check out before 10:00

Taxes included.
Breakfast not included - 6.00 GBP per person per day.
Please note there is no guest kitchen facility to cook and corkage is applied at only GBP 1 per guest for outside food and soft drinks. No outside alcohol is allowed at all.

General:
24-hour Reception.
No curfew.

Bookings cannot be accepted from any person age 16 years or under unless they are accompanied by an adult (over 18) who is staying in the same dorm/room. Families with children aged 16 years and under are welcome, however, they must book and pay for all beds in order to make the room private (i.e. in the case of 4-bedded dorms or larger). 

Alternatively, we have 2 Bedded and 3 Bedded Private rooms available, subject to availability. 

WHAT3WORDS ADDRESS

VOUCH.OPERA.MOONS

Look out for the Peacocks!
Show more"
Astor Victoria,1.8km from city centre,7.5,14931,Very Good,No Privates Available,5859,Perfect Location Superb Staff Awesome Cleanliness,"Note: 18-40 yrs old only. Astor Victoria won 1st Best Small hostel chain and 1st in the Lifetime achievement awards at the 2015 Hoscars! Astor Victoria are consistently praised for their 'laid-back and polite' staff as well as their location. Our guests have said this hostel offers 'really good value for money - especially being so close to the main transport hubs'. We like that this hostel is only 10 minutes' walk from Victoria train and bus station, with travellers telling us they appreciate the easy walk to Big Ben and Buckingham Palace. Hostelworld visitors tell us they would stay here again because this is an 'ideal place to meet new friends and have a good time'."
Selina Camden,5.5km from city centre,9.5,46,Superb,28976,8900,Perfect Location Superb Staff Fantastic Cleanliness,"Among underground music venues, innovative museums, and hidden foodie hotspots, Selina Camden suits its edgy North London backdrop. Aside from offering beautifully-designed accommodation and a comfortable space to hang out, the Selina Camden hotel is an authentic cultural hub, consistent with great guest experience, an ever-changing calendar of exciting diverse programming, and unique wellness experiences. Reflecting Selina’s unique global reach, our Camden destination is here to explore and tie together the shape-shifting diversity of global music. On-site features include a fully-equipped communal kitchen, a loft complete with a stunning balcony, and a trendy vegan/vegetarian neighbourhood-style eatery.

Wake up early and head downstairs for some yoga before experiencing the best of Camden’s vegan gastronomy scene at our hotel restaurant. Take to the streets and explore the many attractions on your doorstep- from Camden Market to London Zoo, The Electric Ballroom, and multiple nearby eateries, we’ve got you! Back at Selina, unwind in the basement accompanied by vinyl tunes, catch a performance by local young talent, or order a pre-gig cocktail at the bar. As the sun sets, catch a show in one of England’s most iconic venues or head to the streets to experience London’s eclectic nightlife till the early hours.

Selina Camden - Terms & Conditions 

24-hours front desk.

Cancellations and No-Shows 

Flexible Reservations: Cancellations or modifications must be made by 6:00 pm (Local time) at least 2 day prior to arrival. Cancellations and no-shows made beyond that time will result in a one-night cancellation fee plus tax.
 
Non-Refundable Reservations: Full amount of stay (with taxes) is payable in advance by credit card at booking time. Non-refundable reservations are those made through early booking promotions and minimum stay reservations among others. Keep in mind that non-refundable reservations require full payment of the account to reserve. Payment will be processed and debited from the authorized credit card. If the charge is declined, the reservation may be cancelled. No refunds will be given for cancellations, absences or premature departures. 


Check in from 15:00 to 23:00 .
Check out before 11:00 .

Payment upon arrival by cash, credit cards, debit cards. 
Taxes included.

Breakfast not included.
No curfew."
"PubLove @ The White Ferry, Victoria",2.4km from city centre,7.5,324,Very Good,No Privates Available,5317,Wonderful Location Superb Staff Awesome Cleanliness,"The White Ferry, Bestplace Inn is close to Victoria coach and train station in central London. Hostelworld guests say this 'charming' hostel has 'awesome and helpful' staff who 'are lovely and go out of their way to answer any questions and help you out'. We like that this hostel is above a pub which reviewers tell us is 'always fun, filled with great people'; many of our visitors say they 'have stayed in this hostel before and have returned' and will come back again."
Hostelle London,5.1km from city centre,8.6,7,Fabulous,No Privates Available,5520,Wonderful Location Superb Staff Fantastic Cleanliness,"Hostelle is the first and only all-female hostel in London. Hostelle was started with the idea to provide a safe and fun place for women who are traveling to Amsterdam, Barcelona, or London to stay so that they only need to focus on sightseeing and enjoying themselves while they are here. For female travelers with a small budget Hostelle is ideal, we are very well communicated with the airport and the city center. 

London has a lot of different attractions and interesting places to visit. Because there are so many options, we from Hostelle have made a list of the absolute must-visits in London.

Hyde Park:
Hyde Park is presumably the foremost notable park in London, it’s among the biggest. The park has historical significance, having hosted a variety of demonstrations and protests together with protests by suffragettes. The park hosts many performances weekly in addition to activities like paddle-boating, seeing several swans, and taking in a breath of fresh air in the center of the city. A must-visit.

Westminster:
Westminster is home to the Houses of Parliament and the world-famous Big Ben. Big Ben is the name of the bell housed within the iconic clock tower, and it still chimes every hour.
You can also find Westminster Abbey here, which is open to the public most days. Whilst visiting these landmarks, be sure to rest your feet in Parliament Square which features statues of important political individuals including Nelson Mandela and Winston Churchill.

Camden:
Camden is a well-known cultural neighborhood in north London. Known for its alternative culture, the crowds here are filled with goths, punks, rockabillies, and tourists alike. Camden has a vibrant body mod community, and you will find several piercing and tattoo shops in this part of town.

London Eye:
A trip to London isn’t complete without a visit to the iconic London Eye. Originally constructed to celebrate the millennium, the Eye is a giant Ferris wheel offering gorgeous views across the city. At night, the wheel is lit up in seasonal colors and is the centerpiece of London’s annual New Year’s fireworks display.

Hostelle London LTD Policy and Condition:
 
